D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
7,5,74,9600,4.10898635,20.34032,0,0,0
7,5,74,9600,4.10898635,20.34032,0,0,0
7,5,74,9630,3.6873004,20.385024,0,0,0
7,5,74,9840,4.22666615,20.832064,0,0,0
7,5,75,8790,3.44213415,18.596864,0,0,0
7,5,75,8970,3.6873004,18.9992,0,0,0
7,5,75,9090,3.54020065,19.22272,0,0,0
7,5,75,9330,3.8049802,19.759168,0,0,0
7,5,76,9630,3.79517355,20.385024,0,0,0
7,5,76,9720,4.0991797,20.56384,63,1435,0
7,5,77,9510,4.05014645,20.1168,0,0,0
7,5,77,9630,4.0207265,20.385024,0,0,0
7,5,77,9660,4.118793,20.429728,0,0,0
7,5,77,9660,4.12859965,20.429728,0,0,0
7,5,77,9660,4.12859965,20.429728,0,0,0
7,5,77,9660,4.1776329,20.429728,0,0,0
7,5,77,9780,4.10898635,20.697952,0,0,0
7,5,77,9900,3.92266,20.966176,0,0,0
7,5,78,9780,4.24627945,20.697952,0,0,0
7,5,78,9780,4.24627945,20.697952,0,0,0
7,5,79,9420,4.0795664,19.937984,31,1210,0
7,5,79,9870,4.42279915,20.876768,0,0,0
7,5,80,9360,3.726527,19.803872,0,0,0
7,5,81,9120,3.61865385,19.312128,0,0,0
7,5,81,9120,3.61865385,19.312128,0,0,0
7,5,81,9780,4.2168595,20.697952,0,0,0
7,5,81,10110,4.5895122,21.413216,0,0,0
7,5,82,9210,3.87362675,19.490944,0,0,0
7,5,82,9480,4.1384063,20.072096,0,0,0
7,5,82,9780,4.1972462,20.697952,0,0,0
7,5,82,9780,4.1972462,20.697952,0,0,0
7,5,82,9900,4.38357255,20.966176,0,0,0
7,5,82,9900,4.4326058,20.966176,0,0,0
7,5,83,9930,4.46202575,21.01088,0,0,0
7,5,83,9930,4.46202575,21.01088,0,0,0
7,5,83,10110,4.22666615,21.413216,0,0,0
7,5,84,9600,4.0403398,20.34032,0,0,0
7,5,84,9840,4.24627945,20.832064,0,0,0
7,5,84,9960,4.314926,21.100288,0,0,0
7,5,85,9570,4.0599531,20.250912,0,0,0
7,5,85,9570,4.0599531,20.250912,0,0,0
7,5,85,9750,4.05014645,20.653248,0,0,0
7,5,85,9960,4.18743955,21.100288,0,0,0
7,5,85,9960,4.3541526,21.100288,0,0,0
7,5,85,9960,4.38357255,21.100288,0,0,0
7,5,86,8070,3.6873004,17.076928,0,0,0
7,5,86,9720,4.2560861,20.56384,0,0,0
7,5,86,9750,4.18743955,20.653248,0,0,0
7,5,86,9900,4.3737659,20.966176,0,0,0
7,5,87,8940,3.52058735,18.909792,0,0,0
7,5,87,8940,3.52058735,18.909792,0,0,0
7,5,87,9180,3.69710705,19.44624,0,0,0
7,5,88,9690,4.1776329,20.519136,0,0,0
7,5,88,9690,4.1776329,20.519136,0,0,0
7,5,88,9870,4.18743955,20.876768,0,0,0
7,5,88,10200,4.7856452,21.592032,0,0,0
7,5,89,9990,4.42279915,21.144992,0,0,0
7,5,89,10080,4.6287388,21.323808,0,0,0
7,5,89,10260,4.2756994,21.726144,0,0,0
7,5,90,9360,3.87362675,19.803872,0,0,0
7,5,90,9540,3.9618866,20.206208,0,0,0
7,5,90,10200,4.6091255,21.592032,0,0,0
7,5,90,10200,4.6091255,21.592032,0,0,0
7,5,90,10320,4.903325,21.860256,0,0,0
7,5,91,9360,3.89324005,19.803872,0,0,0
